generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
130,436,1.2019294864669646e-05,2.1186470044562775e-05,1.7970629006397538e-05,1.915920218101875e-06
131,448,1.2019294864669646e-05,2.1186470044562775e-05,1.765808758871721e-05,2.0292200795065677e-06
132,433,1.2019294864669646e-05,2.1186470044562775e-05,1.7791623003793065e-05,1.986090695977637e-06
133,446,1.1201675271390669e-05,2.1186470044562775e-05,1.7851172717142643e-05,1.979385559040491e-06
134,439,1.0631603326546629e-05,2.1186470044562775e-05,1.7775390170273065e-05,2.0409022904992495e-06
135,442,1.0631603326546629e-05,2.1186470044562775e-05,1.773018502111251e-05,2.106861270212633e-06
136,431,1.0631603326546629e-05,2.1186470044562775e-05,1.7687372241970946e-05,2.0617204898057344e-06
137,422,1.0631603326546629e-05,2.1186470044562775e-05,1.7674266688571506e-05,2.1798460345126593e-06
138,423,1.1768913874301976e-05,2.1186470044562775e-05,1.7798125792860403e-05,2.0990946370143397e-06
139,418,1.1515659272490653e-05,2.1186470044562775e-05,1.7940611732044134e-05,2.0833264120043424e-06
140,426,1.1253229469749567e-05,2.1186470044562775e-05,1.7963861851570875e-05,2.063787398807893e-06
141,417,1.1976726635795444e-05,2.1186470044562775e-05,1.806606869483784e-05,1.9944089642892057e-06
142,419,1.200295042055553e-05,2.1186470044562775e-05,1.8044096871625852e-05,1.9697971324806136e-06
143,422,1.1983998187150871e-05,2.1186470044562775e-05,1.8058244873200102e-05,2.039693077865685e-06
144,435,1.1983998187150871e-05,2.1186470044562775e-05,1.810758862801254e-05,1.989034840048731e-06
145,453,1.1671177396821324e-05,2.1186470044562775e-05,1.818378037079411e-05,1.9139277825016046e-06
146,421,1.2053356628713632e-05,2.1186470044562775e-05,1.8290240844381964e-05,1.9162386808079103e-06
147,437,1.1694331782472308e-05,2.1186470044562775e-05,1.8227871142764618e-05,1.9417962242667087e-06
148,435,1.27745237179129e-05,2.1186470044562775e-05,1.8123506238644685e-05,1.996506506235006e-06
149,440,1.1457589186299688e-05,2.1186470044562775e-05,1.8011690605603717e-05,2.1061016659787326e-06
150,449,1.0788334251571726e-05,2.1186470044562775e-05,1.8081750655231664e-05,2.166795913410817e-06
151,442,1.151653211983898e-05,2.1186470044562775e-05,1.7935571346415763e-05,2.188037487643544e-06
152,411,1.151653211983898e-05,2.1186470044562775e-05,1.8011139851194743e-05,2.2337939842410595e-06
153,409,1.1772200179878635e-05,2.1186470044562775e-05,1.7974735632046893e-05,2.2487431317973477e-06
154,424,1.1992534009876796e-05,2.1186470044562775e-05,1.7918727605077937e-05,2.2385232872464007e-06
155,438,1.159308955808275e-05,2.1186470044562775e-05,1.8033323063082855e-05,2.205557731805842e-06
156,425,1.1897564349546849e-05,2.1186470044562775e-05,1.7989123883923888e-05,2.3209463003198074e-06
157,418,1.1880706930199158e-05,2.230809477906753e-05,1.8167785754630612e-05,2.343772686284474e-06
158,414,1.126262461132854e-05,2.1186470044562775e-05,1.8073035579800057e-05,2.3753316337091205e-06
159,424,1.126262461132854e-05,2.2006765386184616e-05,1.8189268020824804e-05,2.282115439412074e-06
160,432,1.126262461132854e-05,2.1186470044562775e-05,1.8125219146582137e-05,2.2549785978200966e-06
161,425,1.126262461132854e-05,2.1186470044562775e-05,1.8198256034674437e-05,2.2301881051687863e-06
162,429,1.126262461132854e-05,2.1186470044562775e-05,1.8215259052595775e-05,2.1735980390061745e-06
163,425,1.0937882625535453e-05,2.1186470044562775e-05,1.8291358947561597e-05,2.259390147812755e-06
164,412,1.0843880640962084e-05,2.139359191193889e-05,1.817186343656327e-05,2.215198423961611e-06
165,435,1.131287060722981e-05,2.1186470044562775e-05,1.825510256854925e-05,2.1727004418207247e-06
166,402,1.131287060722981e-05,2.139359191193889e-05,1.8468104062037904e-05,2.1935936032892235e-06
167,437,1.1190009749639431e-05,2.139359191193889e-05,1.841093669808757e-05,2.1806510092797066e-06
168,437,1.1190009749639431e-05,2.165307997917418e-05,1.8462764616003688e-05,2.2393441374283456e-06
169,432,1.1190009749639431e-05,2.165307997917418e-05,1.8478702542898576e-05,2.1645621150281824e-06
170,455,1.1190009749639431e-05,2.165307997917418e-05,1.834911185510159e-05,2.2585143947765106e-06
171,446,1.1070489127957939e-05,2.165307997917418e-05,1.839757746860837e-05,2.3216492295970986e-06
172,426,1.0757827422271208e-05,2.165307997917418e-05,1.82977710159427e-05,2.3626729821676743e-06
173,430,1.1537498600124548e-05,2.165307997917418e-05,1.8260164380157457e-05,2.357671152640672e-06
174,456,1.145105227003113e-05,2.1186470044562775e-05,1.824626052849147e-05,2.4166490450973463e-06
175,428,1.1004263110088707e-05,2.1186470044562775e-05,1.8133222218266822e-05,2.4042728561807465e-06
176,435,1.146108281764138e-05,2.1186470044562775e-05,1.806877071750502e-05,2.522805059469545e-06
177,446,1.146108281764138e-05,2.230809477906753e-05,1.8303519567944045e-05,2.4394562495791475e-06
178,430,1.0631603326546629e-05,2.230809477906753e-05,1.8477080448188326e-05,2.2989974649316003e-06
179,436,1.1371232012937752e-05,2.230809477906753e-05,1.855033030367693e-05,2.2601279156962e-06
180,432,1.0815965016599352e-05,2.230809477906753e-05,1.845658516835793e-05,2.3347223153892904e-06
181,438,1.096640880905591e-05,2.1186470044562775e-05,1.834185975306581e-05,2.3307766840890417e-06
182,442,1.1165710680687516e-05,2.1459364958367074e-05,1.8394823460804543e-05,2.248416735722668e-06
183,444,1.1416663479214734e-05,2.1459364958367074e-05,1.839951289885868e-05,2.2291370322558332e-06
184,432,1.1416663479214734e-05,2.1459364958367074e-05,1.8459150259424637e-05,2.2028316287575586e-06
185,415,1.1144660963924958e-05,2.1682750730280774e-05,1.8500627021600957e-05,2.11434658980351e-06
186,436,1.1233859498824588e-05,2.1682750730280774e-05,1.8490084745279957e-05,2.1600044740625225e-06
187,436,1.1233859498824588e-05,2.1459364958367074e-05,1.8480828572747837e-05,2.218466089312955e-06
188,423,1.108492909868311e-05,2.1459364958367074e-05,1.85035316523375e-05,2.3017971691850495e-06
189,438,1.0882647242040002e-05,2.1459364958367074e-05,1.8432524328510045e-05,2.5062687623469714e-06
190,438,1.0882647242040002e-05,2.165307997917418e-05,1.8633020337364553e-05,2.4437644944871197e-06
